time,lon,lat,tmp,dtr,pre,vap,wet,cld,frs,pet
2013-11-16,99.75,23.75,15.400001,13.6,10.0,12.900001,2.6699998,30.1,0.44,2.4
2011-12-16,16.25,53.75,1.5,3.9,76.0,6.2000003,22.42,83.0,19.24,0.2
2019-11-16,-132.75,61.75,-12.1,9.400001,17.6,2.7,11.259999,69.0,30.0,0.0
2016-07-16,57.75,51.75,20.300001,20.800001,65.700005,13.7,7.79,20.2,0.0,5.9
2011-03-16,129.75,-18.25,26.0,10.2,319.0,15.2,15.4,55.7,0.0,4.9
2019-10-16,106.25,47.75,1.4,14.1,13.900001,3.3,4.06,32.7,26.96,1.5
2018-07-16,-43.25,-9.25,25.7,13.3,0.3,16.5,0.84,34.4,0.0,4.7000003
2015-01-16,-83.25,51.75,-22.5,12.900001,48.2,1.0,7.3799996,62.4,31.0,0.1
2014-03-16,27.75,-16.25,23.2,11.400001,82.4,21.5,9.139999,61.3,0.0,3.5
2018-04-16,48.25,59.25,3.0,9.3,39.2,4.7000003,14.099999,64.0,21.539999,1.8000001
2016-09-16,142.25,-23.25,21.0,13.0,14.5,7.9,2.73,50.0,0.0,5.7000003
2012-11-16,142.25,74.75,-18.4,7.7000003,5.7000003,1.2,13.0,66.3,30.0,0.0
2018-08-16,20.25,66.25,12.400001,10.900001,93.200005,11.6,19.89,69.3,2.04,2.1000001
2013-11-16,118.75,-24.75,28.7,16.4,6.5,10.5,5.7999997,22.0,0.0,8.900001
2020-08-16,41.25,36.25,32.0,16.4,0.0,15.8,7.89,6.0,0.0,8.1
2018-09-16,57.25,26.75,33.7,9.8,0.8,28.7,0.14999999,36.5,0.0,6.1
2018-02-15,101.75,59.25,-22.9,19.800001,15.2,0.90000004,7.5299997,58.8,28.0,0.1
2019-09-16,101.25,59.25,7.9,15.1,45.100002,8.400001,14.849999,63.9,16.32,1.4
2016-04-16,-47.25,-6.75,28.5,8.900001,63.7,29.5,16.5,76.1,0.0,3.2
